sentence,page,x_coord,y_coord,doc_name,embedding_index
Aravis gamme bois,3,41.0551,60.94690000000003,3_MATS_CATAL_HE_VII,112
Scellement : Borne acier Fût bois,3,183.1181,586.9243,3_MATS_CATAL_HE_VII,113
Ht sol/porte Passage libre Poids B,3,273.06780000000003,603.884,3_MATS_CATAL_HE_VII,114
Poids emmanchement,3,273.06780000000003,603.884,3_MATS_CATAL_HE_VII,115
3.50 1000 120x120 400 500x85 20 2500 42 15 3500,3,240.9623,617.442,3_MATS_CATAL_HE_VII,116
4.00 1000 120x120 400 500x85 20 3000 42 18 4000,3,240.9553,628.7819999999999,3_MATS_CATAL_HE_VII,117
Nos mâts sont livrés avec deux séries de vis à 120° en tête de fût.,3,233.1259,707.4895,3_MATS_CATAL_HE_VII,118
"Précisez la finition peinture polyester selon RAL (fin catalogue), le type de crapaudine, si nécessaire, et l’ajout de tiges de scellement.",3,233.1259,715.8895,3_MATS_CATAL_HE_VII,119
Mâts contemporains 163,4,412.9252,22.87130000000002,3_MATS_CATAL_HE_VII,120
HHeeiinnrriiccHH,4,29.5086,42.0435,3_MATS_CATAL_HE_VII,121
ÉÉccllaaiirraaggee,4,29.5086,42.0435,3_MATS_CATAL_HE_VII,122
Danay gamme bois,4,419.9382,60.94690000000003,3_MATS_CATAL_HE_VII,123
Scellement : Borne acier Fût bois,4,133.17239999999998,586.9243,3_MATS_CATAL_HE_VII,124
Ht sol/portePassage libre,4,86.91839999999996,603.884,3_MATS_CATAL_HE_VII,125
Poids emmanchement,4,86.91839999999996,603.884,3_MATS_CATAL_HE_VII,126
4.00 1000 140 400 500x100 20 3000 42 25 4000,4,39.0628,617.442,3_MATS_CATAL_HE_VII,127
Nos mâts sont livrés avec deux séries de vis à 120° en tête de fût.,4,14.1732,707.4895,3_MATS_CATAL_HE_VII,128
"Précisez la finition peinture polyester selon RAL (fin catalogue), le type de crapaudine, si nécessaire, et l’ajout de tiges de scellement.",4,14.1732,715.8895,3_MATS_CATAL_HE_VII,129
164 Mâts contemporains,5,47.7675,23.154800000000023,3_MATS_CATAL_HE_VII,130
HHeeiinnrriiccHH,5,479.6503,42.0435,3_MATS_CATAL_HE_VII,131
ÉÉccllaaiirraaggee,5,479.6503,42.0435,3_MATS_CATAL_HE_VII,132
Fernuy gamme bois,5,41.0551,60.94690000000003,3_MATS_CATAL_HE_VII,133
Airlie n°2 et mât Fernuy,5,511.8807,572.8254999999999,3_MATS_CATAL_HE_VII,134
Scellement : Borne acier Fût bois,5,183.1181,586.9243,3_MATS_CATAL_HE_VII,135
Ht sol/portePassage libre,5,305.8711,603.884,3_MATS_CATAL_HE_VII,136
Poids emmanchement,5,305.8711,603.884,3_MATS_CATAL_HE_VII,137
4.00 1000 140 400 500x100 20 3000 42 25 4000,5,258.0155,617.442,3_MATS_CATAL_HE_VII,138
Nos mâts sont livrés avec deux séries de vis à 120° en tête de fût.,5,233.1259,707.4895,3_MATS_CATAL_HE_VII,139
"Précisez la finition peinture polyester selon RAL (fin catalogue), le type de crapaudine, si nécessaire, et l’ajout de tiges de scellement.",5,233.1259,715.8895,3_MATS_CATAL_HE_VII,140
Mâts contemporains 165,6,412.9252,22.87130000000002,3_MATS_CATAL_HE_VII,141
HHeeiinnrriiccHH,6,29.5086,42.0435,3_MATS_CATAL_HE_VII,142
ÉÉccllaaiirraaggee,6,29.5086,42.0435,3_MATS_CATAL_HE_VII,143
Paccaly gamme bois,6,411.5876,60.94690000000003,3_MATS_CATAL_HE_VII,144
Alizé et mât Paccaly,6,16.660600000000002,572.8275,3_MATS_CATAL_HE_VII,145
Scellement : Borne fonte,6,136.8508,586.9243,3_MATS_CATAL_HE_VII,146
3.90 Lisse 1100 350 415x82 75 2800 42 35 3900,6,19.3982,617.442,3_MATS_CATAL_HE_VII,147
4.00 Martelé 1200 350 415x82 72 2800 42 35 400,6,19.39119999999997,628.7819999999999,3_MATS_CATAL_HE_VII,148
4.70 Martelé 1900 600 415x82 98 2800 42 35 4700,6,19.37719999999996,640.122,3_MATS_CATAL_HE_VII,149
Nos mâts sont livrés avec deux séries de vis à 120° en tête de fût.,6,14.1732,707.4895,3_MATS_CATAL_HE_VII,150
"Précisez la finition peinture polyester selon RAL (fin catalogue), le type de crapaudine, si nécessaire, et l’ajout de tiges de scellement.",6,14.1732,715.8895,3_MATS_CATAL_HE_VII,151
HHeeiinnrriiccHH,7,479.6503,42.0435,3_MATS_CATAL_HE_VII,152
ÉÉccllaaiirraaggee,7,479.6503,42.0435,3_MATS_CATAL_HE_VII,153
Nos mâts sont livrés avec deux séries de vis à 120° en tête de fût.,7,233.1259,707.4895,3_MATS_CATAL_HE_VII,154
"Précisez la finition peinture polyester selon RAL (fin catalogue), le type de crapaudine, si nécessaire, et l’ajout de tiges de scellement.",7,233.1259,715.8895,3_MATS_CATAL_HE_VII,155
Cyclone latéral et mât Bali,7,490.7143,812.5715,3_MATS_CATAL_HE_VII,156
Mâts contemporains 167,8,412.9252,22.87130000000002,3_MATS_CATAL_HE_VII,157
HHeeiinnrriiccHH,8,29.5086,42.0435,3_MATS_CATAL_HE_VII,158
ÉÉccllaaiirraaggee,8,29.5086,42.0435,3_MATS_CATAL_HE_VII,159
Bhoot et mât Bali,8,15.2835,572.8254999999999,3_MATS_CATAL_HE_VII,160
Scellement : Monobloc acier Crossette,8,101.8921,586.9243,3_MATS_CATAL_HE_VII,161
Ht sol/porte Passage libre Poids,8,61.4461,603.884,3_MATS_CATAL_HE_VII,162
5.80 500 500x95 96 130 5800 7550 Porte,8,26.3585,617.4421,3_MATS_CATAL_HE_VII,163
6.80 500 500x100 113 130 6800 8520,8,26.3655,628.7821,3_MATS_CATAL_HE_VII,164
7.80 500 600x125 131 130 7800 9480,8,26.372499999999945,640.1221,3_MATS_CATAL_HE_VII,165
8.80 500 600x130 150 130 8800 10420,8,26.379499999999894,651.4621,3_MATS_CATAL_HE_VII,166
9.80 500 600x135 170 130 9800 11340,8,26.38649999999984,662.8021,3_MATS_CATAL_HE_VII,167
Nos mâts sont livrés avec deux séries de vis à 120° en tête de fût.,8,14.1732,707.4895,3_MATS_CATAL_HE_VII,168
"Précisez la finition peinture polyester selon RAL (fin catalogue), le type de crapaudine, si nécessaire, et l’ajout de tiges de scellement.",8,14.1732,713.0897,3_MATS_CATAL_HE_VII,169
168 Mâts contemporains,9,47.7675,23.154800000000023,3_MATS_CATAL_HE_VII,170
HHeeiinnrriiccHH,9,479.6503,42.0435,3_MATS_CATAL_HE_VII,171
ÉÉccllaaiirraaggee,9,479.6503,42.0435,3_MATS_CATAL_HE_VII,172
Béring gamme acier,9,41.0551,60.94690000000003,3_MATS_CATAL_HE_VII,173
top n°1 et mât Béring,9,487.4225,572.8254999999999,3_MATS_CATAL_HE_VII,174
Scellement : Monobloc cylindrique acier,9,183.1181,586.9243,3_MATS_CATAL_HE_VII,175
Passage libre Poids,9,94.5405,597.8741,3_MATS_CATAL_HE_VII,176
3.00 89 600 300x55 26 3000,9,251.4959,607.1784,3_MATS_CATAL_HE_VII,177
3.50 89 600 300x55 30 3500,9,251.48889999999997,618.5183999999999,3_MATS_CATAL_HE_VII,178
4.00 89 600 300x55 33 4000,9,251.48189999999988,629.8584,3_MATS_CATAL_HE_VII,179
4.50 89 600 300x55 36 4500,9,251.47489999999985,641.1984,3_MATS_CATAL_HE_VII,180
Porte 5.00 89 600,9,197.987,648.0349,3_MATS_CATAL_HE_VII,181
4.00 102 600 300x55 41 4000,9,251.4608999999997,663.8784,3_MATS_CATAL_HE_VII,182
5.00 102 600 300x55 49 5000,9,251.45389999999972,675.0083999999999,3_MATS_CATAL_HE_VII,183
Ht Nos mâts sont livrés avec deux séries de vis à 120° en tête de fût.,9,62.3385,707.4895,3_MATS_CATAL_HE_VII,184
"Précisez la finition peinture polyester selon RAL (fin catalogue), le type de crapaudine, si nécessaire, et l’ajout de tiges de scellement.",9,233.1259,715.8895,3_MATS_CATAL_HE_VII,185
Mâts contemporains 169,10,412.9252,22.87130000000002,3_MATS_CATAL_HE_VII,186
HHeeiinnrriiccHH,10,29.5086,42.0435,3_MATS_CATAL_HE_VII,187
ÉÉccllaaiirraaggee,10,29.5086,42.0435,3_MATS_CATAL_HE_VII,188
Féroé gamme acier,10,419.4471,60.94690000000003,3_MATS_CATAL_HE_VII,189
style suspendu sur bouquet Naos / Montparnasse SG,10,17.1075,572.8254999999999,3_MATS_CATAL_HE_VII,190
n°2 suspendu sur crosse Roseau et mât,10,17.1075,572.8254999999999,3_MATS_CATAL_HE_VII,191
Monobloc cylindroconique acier Scellement :,10,141.0545,586.9243,3_MATS_CATAL_HE_VII,192
Modèle Ø en tête de fût,10,54.67849999999999,597.8722,3_MATS_CATAL_HE_VII,193
De 3.00 à 10.00 60/62/75/76/89 500 (selon Ht) 3000 à 10 000,10,40.1064,607.1784,3_MATS_CATAL_HE_VII,194
Consultez nous pour obtenir les dimensions détaillées selon les hauteurs de fûts.,10,14.176600000000008,646.6176,3_MATS_CATAL_HE_VII,195
Nos mâts sont livrés avec deux séries de vis à 120° en tête de fût.,10,14.1732,706.2156,3_MATS_CATAL_HE_VII,196
"Précisez la finition peinture polyester selon RAL (fin catalogue), le type de crapaudine, si nécessaire, et l’ajout de tiges de scellement.",10,14.1732,715.8895,3_MATS_CATAL_HE_VII,197
170 Mâts contemporains,11,47.7675,23.154800000000023,3_MATS_CATAL_HE_VII,198
HHeeiinnrriiccHH,11,479.6503,42.0435,3_MATS_CATAL_HE_VII,199
ÉÉccllaaiirraaggee,11,479.6503,42.0435,3_MATS_CATAL_HE_VII,200
Roseau gamme acier,11,41.0551,60.94690000000003,3_MATS_CATAL_HE_VII,201
Cyclone latéral sur bouquet Saturne / Montparnasse SG n°2 suspendu sur crosse Manoir et mât,11,277.0082,572.8254999999999,3_MATS_CATAL_HE_VII,202
Scellement : Monobloc octoconique acier,11,183.1181,586.9243,3_MATS_CATAL_HE_VII,203
Modèle Ø en tête de fût,11,272.2135,598.5721,3_MATS_CATAL_HE_VII,204
De 3.00 à 10.00 60/62/76 500 (selon Ht) 3000 à 10 000,11,257.6418,607.8783,3_MATS_CATAL_HE_VII,205
Consultez nous pour obtenir les dimensions détaillées selon les hauteurs de fûts.,11,233.1263,668.1106,3_MATS_CATAL_HE_VII,206
Ht Nos mâts sont livrés avec deux séries de vis à 120° en tête de fût.,11,70.0393,707.4895,3_MATS_CATAL_HE_VII,207
"Précisez la finition peinture polyester selon RAL (fin catalogue), le type de crapaudine, si nécessaire, et l’ajout de tiges de scellement.",11,233.1259,715.8895,3_MATS_CATAL_HE_VII,208
Mâts contemporains 171,12,412.9252,22.87130000000002,3_MATS_CATAL_HE_VII,209
HHeeiinnrriiccHH,12,29.5086,42.0435,3_MATS_CATAL_HE_VII,210
ÉÉccllaaiirraaggee,12,29.5086,42.0435,3_MATS_CATAL_HE_VII,211
Windy top T / Mistral suspendu sur bouquet Neptune et mât Typhon,12,15.2835,572.8254999999999,3_MATS_CATAL_HE_VII,212
Monobloc bi-section Scellement :,12,158.0226,586.9243,3_MATS_CATAL_HE_VII,213
Modèle A Ø 1 Ø 2,12,26.184600000000017,597.8722,3_MATS_CATAL_HE_VII,214
Passage libre Poids,12,26.184600000000017,597.8722,3_MATS_CATAL_HE_VII,215
3.00 1000 140 89 400 500x100 33 3000,12,29.705,605.7610999999999,3_MATS_CATAL_HE_VII,216
3.50 1000 140 89 400 500x100 37 3500,12,29.70500000000004,614.2661,3_MATS_CATAL_HE_VII,217
4.00 1000 140 89 400 500x100 40 4000,12,29.70500000000004,622.7710999999999,3_MATS_CATAL_HE_VII,218
5.00 1000 140 89 400 500x100 47 5000 Ø 2 4.50 1000 140 102 400 500x100 51 4500,12,29.70500000000004,631.2761,3_MATS_CATAL_HE_VII,219
5.00 1000 140 102 400 500x100 55 5000 Porte :,12,29.70500000000004,647.468,3_MATS_CATAL_HE_VII,220
5.50 1500 168 133 500 500x120 89 5500 3.00 à 5.00 m,12,29.70500000000004,654.6679999999999,3_MATS_CATAL_HE_VII,221
6.00 1500 168 133 500 500x120 95 6000,12,29.70500000000004,666.1291,3_MATS_CATAL_HE_VII,222
7.00 1500 168 133 500 500x120 101 7000,12,29.70500000000004,675.4671,3_MATS_CATAL_HE_VII,223
8.00 1500 168 133 500 500x120 108 8000,12,29.70500000000004,683.9721,3_MATS_CATAL_HE_VII,224
Nos mâts sont livrés avec deux séries de vis à 120° en tête de fût.,12,14.1732,707.4895,3_MATS_CATAL_HE_VII,225
"Précisez la finition peinture polyester selon RAL (fin catalogue), le type de crapaudine, si nécessaire, et l’ajout de tiges de scellement.",12,14.1732,714.704,3_MATS_CATAL_HE_VII,226
Option enjoliveurs :,12,362.8347,762.9440999999999,3_MATS_CATAL_HE_VII,227
Meidoum Gibraltar 3.00,12,359.9947,818.2161,3_MATS_CATAL_HE_VII,228
172 Mâts contemporains,13,47.7675,23.154800000000023,3_MATS_CATAL_HE_VII,229
HHeeiinnrriiccHH,13,479.6503,42.0435,3_MATS_CATAL_HE_VII,230
ÉÉccllaaiirraaggee,13,479.6503,42.0435,3_MATS_CATAL_HE_VII,231
Typhon anti-vandalisme,13,41.0551,60.94690000000003,3_MATS_CATAL_HE_VII,232
Ø 2 Éole / Cyclone latéral sur crosse Éridan et mât Typhon anti-vandalisme,13,151.49560000000002,572.8254999999999,3_MATS_CATAL_HE_VII,233
Scellement : Monobloc acier,13,183.1181,586.9243,3_MATS_CATAL_HE_VII,234
1 borne Ø 2 fût A,13,245.0108,597.8722,3_MATS_CATAL_HE_VII,235
Ht sol/porte Passage libre Poids,13,245.0108,597.8722,3_MATS_CATAL_HE_VII,236
A 5.00 140 90 2650 2000,13,245.4167,607.1784,3_MATS_CATAL_HE_VII,237
B 5.00 168 133 1500 2800,13,245.2277,618.5183999999999,3_MATS_CATAL_HE_VII,238
C 6.00 168 133 2650 2000 500x120 91,13,245.0387,629.8584,3_MATS_CATAL_HE_VII,239
C 7.00 168 133 2650 2000,13,245.0386999999999,641.1984,3_MATS_CATAL_HE_VII,240
500x120 104 7000,13,245.0386999999999,641.1984,3_MATS_CATAL_HE_VII,241
C 8.00 168 133 2650 2000 500x120 116 8000 5.00 m,13,201.0156,650.1609,3_MATS_CATAL_HE_VII,242
Porte surélevée en prévention contre le vandalisme et les inondations.,13,233.126,687.2591,3_MATS_CATAL_HE_VII,243
Nos mâts sont livrés avec deux séries de vis à 120° en tête de fût.,13,233.1259,707.4895,3_MATS_CATAL_HE_VII,244
"Précisez la finition peinture polyester selon RAL (fin catalogue), le type de crapaudine, si nécessaire, et l’ajout de tiges de scellement.",13,201.3516,715.8895,3_MATS_CATAL_HE_VII,245
Modèle A Modèle C,13,55.3141,829.6292,3_MATS_CATAL_HE_VII,246
Mâts contemporains 173,14,412.9252,22.87130000000002,3_MATS_CATAL_HE_VII,247
HHeeiinnrriiccHH,14,29.5086,42.0435,3_MATS_CATAL_HE_VII,248
ÉÉccllaaiirraaggee,14,29.5086,42.0435,3_MATS_CATAL_HE_VII,249
Uhlan gamme acier,14,416.9818,60.94690000000003,3_MATS_CATAL_HE_VII,250
Matinale n°2 et mât Uhlan,14,17.100600000000004,572.8275,3_MATS_CATAL_HE_VII,251
Monobloc acier Scellement : Ø 2,14,166.408,585.8072,3_MATS_CATAL_HE_VII,252
1 borne Ø 2 fût A,14,27.801999999999992,597.8722,3_MATS_CATAL_HE_VII,253
Ht sol/porte Passage libre Poids,14,27.801999999999992,597.8722,3_MATS_CATAL_HE_VII,254
3.50 159 76 1000,14,31.3254,607.1784,3_MATS_CATAL_HE_VII,255
480 400x100 39 3500,14,31.3254,607.1784,3_MATS_CATAL_HE_VII,256
4.00 159 76 1000 480 400x100 42 4000,14,31.3254,618.8543999999999,3_MATS_CATAL_HE_VII,257
5.00 159 76 1000,14,31.3254,630.5304,3_MATS_CATAL_HE_VII,258
480 400x100 48 5000,14,31.3254,630.5304,3_MATS_CATAL_HE_VII,259
Nos mâts sont livrés avec deux séries de vis à 120° en tête de fût.,14,14.1732,707.4895,3_MATS_CATAL_HE_VII,260
"Précisez la finition peinture polyester selon RAL (fin catalogue), le type de crapaudine, si nécessaire, et l’ajout de tiges de scellement.",14,14.1732,715.8895,3_MATS_CATAL_HE_VII,261
174 Mâts contemporains,15,47.7675,23.154800000000023,3_MATS_CATAL_HE_VII,262
HHeeiinnrriiccHH,15,479.6503,42.0435,3_MATS_CATAL_HE_VII,263
ÉÉccllaaiirraaggee,15,479.6503,42.0435,3_MATS_CATAL_HE_VII,264
